State,County,"Total law
enforcement
employees","Total
officers","Total
civilians"
GEORGIA-Metropolitan Counties,Paulding,268,34,234
GEORGIA-Metropolitan Counties,Pickens,84,74,10
GEORGIA-Metropolitan Counties,Rockdale,204,186,18
GEORGIA-Metropolitan Counties,Spalding,175,94,81
GEORGIA-Metropolitan Counties,Twiggs,43,21,22
GEORGIA-Metropolitan Counties,Walton,180,158,22
GEORGIA-Metropolitan Counties,Whitfield,191,166,25
GEORGIA-Metropolitan Counties,Worth,34,25,9
GEORGIA-Nonmetropolitan Counties,Appling,49,16,33
GEORGIA-Nonmetropolitan Counties,Atkinson,12,7,5
GEORGIA-Nonmetropolitan Counties,Baldwin,120,60,60
GEORGIA-Nonmetropolitan Counties,Banks,53,31,22
GEORGIA-Nonmetropolitan Counties,Ben Hill,36,31,5
GEORGIA-Nonmetropolitan Counties,Berrien,27,23,4
GEORGIA-Nonmetropolitan Counties,Bleckley,40,13,27
GEORGIA-Nonmetropolitan Counties,Bulloch,119,51,68
GEORGIA-Nonmetropolitan Counties,Calhoun,15,6,9
GEORGIA-Nonmetropolitan Counties,Camden,123,59,64
GEORGIA-Nonmetropolitan Counties,Charlton,32,18,14
GEORGIA-Nonmetropolitan Counties,Clinch,13,9,4
GEORGIA-Nonmetropolitan Counties,Coffee,123,54,69
GEORGIA-Nonmetropolitan Counties,Cook,43,19,24
GEORGIA-Nonmetropolitan Counties,Crisp,72,67,5
GEORGIA-Nonmetropolitan Counties,Decatur,34,29,5
GEORGIA-Nonmetropolitan Counties,Dodge,35,19,16
GEORGIA-Nonmetropolitan Counties,Dooly,65,25,40
GEORGIA-Nonmetropolitan Counties,Early,52,45,7
GEORGIA-Nonmetropolitan Counties,Elbert,58,53,5
GEORGIA-Nonmetropolitan Counties,Emanuel,31,13,18
GEORGIA-Nonmetropolitan Counties,Evans,20,10,10
GEORGIA-Nonmetropolitan Counties,Fannin,44,42,2
GEORGIA-Nonmetropolitan Counties,Franklin,59,32,27
GEORGIA-Nonmetropolitan Counties,Gordon,86,76,10
GEORGIA-Nonmetropolitan Counties,Grady,47,19,28
GEORGIA-Nonmetropolitan Counties,Greene,51,33,18
GEORGIA-Nonmetropolitan Counties,Habersham,39,37,2
GEORGIA-Nonmetropolitan Counties,Hancock,42,16,26
GEORGIA-Nonmetropolitan Counties,Hart,40,27,13
GEORGIA-Nonmetropolitan Counties,Irwin,21,13,8
GEORGIA-Nonmetropolitan Counties,Jackson,161,108,53
GEORGIA-Nonmetropolitan Counties,Jeff Davis,42,17,25
GEORGIA-Nonmetropolitan Counties,Jefferson,45,42,3
GEORGIA-Nonmetropolitan Counties,Johnson,17,8,9
GEORGIA-Nonmetropolitan Counties,Laurens,100,59,41
GEORGIA-Nonmetropolitan Counties,Lumpkin,72,63,9
GEORGIA-Nonmetropolitan Counties,Morgan,54,26,28
GEORGIA-Nonmetropolitan Counties,Peach,65,31,34
GEORGIA-Nonmetropolitan Counties,Pierce,30,14,16
GEORGIA-Nonmetropolitan Counties,Polk County Police Department,40,37,3
GEORGIA-Nonmetropolitan Counties,Pulaski,35,25,10
GEORGIA-Nonmetropolitan Counties,Putnam,66,35,31
GEORGIA-Nonmetropolitan Counties,Rabun,53,51,2
GEORGIA-Nonmetropolitan Counties,Schley,7,3,4
GEORGIA-Nonmetropolitan Counties,Seminole,28,15,13
GEORGIA-Nonmetropolitan Counties,Stephens,66,33,33
GEORGIA-Nonmetropolitan Counties,Stewart,8,4,4
